Spot,C_Gel1_IS,C_Gel1_Total (Cy3),C_Gel1_Carbonyl (Cy5),C_Gel2_IS,C_Gel2_Total (Cy3),C_Gel2_Carbonyl (Cy5),C_Gel3_IS,C_Gel3_Total (Cy3),C_Gel3_Carbonyl (Cy5),C_Gel4_IS,C_Gel4_Total (Cy3),C_Gel4_Carbonyl (Cy5),T_Gel1_IS,T_Gel1_Total (Cy3),T_Gel1_Carbonyl (Cy5),T_Gel2_IS,T_Gel2_Total (Cy3),T_Gel2_Carbonyl (Cy5),T_Gel3_IS,T_Gel3_Total (Cy3),T_Gel3_Carbonyl (Cy5),T_Gel4_IS,T_Gel4_Total (Cy3),T_Gel4_Carbonyl (Cy5)
260,5719381.18992813,514425.148057768,769517.170434949,6100036.5300933,463329.856833191,780548.895842132,4191621.1552455,352771.567873379,547545.850125632,3184974.96467092,300457.994292622,518974.22429165,6325809.94721951,256604.554323298,728249.459474013,8438844.96515603,349264.278600238,588043.481198112,5091176.66193264,106942.169027595,513609.34697052,6476661.65924979,330135.130336061,510518.380286536
277,698060.190742734,35417.0815751661,226198.575330873,685304.132157831,30006.2871666904,293899.286162141,370784.088203861,17794.7641999796,192158.801426379,325760.843038284,17266.8073519792,172053.485184517,967576.739415328,112289.911091736,478706.749671604,799888.416726228,95398.6563965388,430860.922062389,539338.353292151,33453.341525964,323925.113447521,376996.790316424,39575.9667287617,325435.252406979
264,572806.924631372,43144.5793483269,111314.814921734,632485.211979376,39005.2471663775,137603.336674782,1004623.43273456,68313.8895781192,149674.541578077,398370.654376668,32143.6579608122,126857.828003671,545312.041519996,45795.583738629,174570.843044577,986377.777396376,84782.9876055744,172640.149168565,592510.92452475,27184.1822541419,112768.200130562,673857.682862205,68862.9496679077,143623.192828139
258,1524033.85241582,101379.028079016,327362.662148576,2237979.80827686,126449.921592503,414997.622251809,1158315.28404508,74218.9463425316,275901.242385064,956763.617768226,67889.1698805893,240814.151786,1784254.51328305,194777.518235409,449336.602275126,2975105.3490797,320615.420389969,605523.370516336,1418750.72777268,78979.8141217944,335024.342349487,1707372.38365909,210664.985970885,359451.477623824
265,1457061.82003242,102847.712603775,239317.773444607,1553730.14872343,91330.0341217991,284358.037587071,2308016.4547775,153119.431948299,311624.418037021,1100185.10860161,85828.1187502473,219370.59109041,1280099.65056503,123350.757902562,299064.525845552,2877442.48943651,272556.32479898,378248.745952941,1644348.12926986,80910.5931939032,282895.107789102,1811022.75538727,194579.32569406,263381.304697903
268,400361.768553595,29154.1757961361,183384.549406329,358933.857113012,21099.1438784469,209160.815485158,346038.403860444,22268.6195832101,248856.074221917,191414.665750793,13886.6857041174,161062.620633368,377765.084510074,39238.2227487632,316552.720789197,542367.85254849,63454.4278682376,327908.137507748,267161.131722828,19572.1304890571,308343.29981497,135713.463373742,15070.6781039416,186556.578959411
262,457129.370051176,38378.7435610854,134775.360103299,495157.410029549,34888.1971868561,166466.234521114,626639.721855541,46604.4425931642,132950.74693283,478593.563535882,42690.2091189971,155851.422184441,381840.765390816,28500.759551464,134879.341595841,574339.812310785,42573.1170738015,143444.349849657,355733.754749887,12884.1689083592,121204.614615846,518985.886907444,48271.2586086934,117150.602498023
263,1610283.63221117,123935.565176104,289251.424579863,1828505.72580366,116335.362321698,376110.408361654,1964956.58570319,138549.920526672,311672.888677286,1060817.39870155,87208.3724722048,246482.657551218,1162733.85927381,101872.684725702,347010.583619584,1560734.05748268,150212.391040739,327349.335730015,1339626.24215994,60904.2216323347,269340.459699152,393815.52375109,42570.5199097087,249280.389686664
323,20131841.2190437,1662771.26158572,1991660.99759073,76601464.279192,4837868.80921177,4830811.40489677,42092499.9474996,3128001.34935947,2976706.02592641,37130659.6159532,3249984.33123445,2755521.65108725,40030204.7957044,2189034.46517289,2712276.32325037,39309465.870669,2232538.49312143,2503502.59667499,38044508.6162879,1087276.34488014,1964146.57256679,40767177.5490618,2630056.53694246,2311602.78619758
275,277366.935175503,25813.2997953949,180504.747928671,794999.3909612,60399.4509171252,351031.948488826,583160.710811947,43626.7438413532,306233.807293109,221661.924867794,31630.1010387529,232755.901534419,273664.41324281,29665.4118184283,350197.201536247,339185.816843844,63854.6770425082,454358.085574325,276389.26002624,20257.3730828643,380245.469657984,263608.970044465,37038.9571496922,333612.38712724
