"Spot","Spot_alt","10m_Gel1_IS","10m_Gel1_Total (Cy3)","10m_Gel1_Carbonyl (Cy5)","10m_Gel2_IS","10m_Gel2_Total (Cy3)","10m_Gel2_Carbonyl (Cy5)","10m_Gel3_IS","10m_Gel3_Total (Cy3)","10m_Gel3_Carbonyl (Cy5)","10m_Gel4_IS","10m_Gel4_Total (Cy3)","10m_Gel4_Carbonyl (Cy5)","30m_Gel1_IS","30m_Gel1_Total (Cy3)","30m_Gel1_Carbonyl (Cy5)","30m_Gel2_IS","30m_Gel2_Total (Cy3)","30m_Gel2_Carbonyl (Cy5)","30m_Gel3_IS","30m_Gel3_Total (Cy3)","30m_Gel3_Carbonyl (Cy5)","30m_Gel4_IS","30m_Gel4_Total (Cy3)","30m_Gel4_Carbonyl (Cy5)","75m_Gel1_IS","75m_Gel1_Total (Cy3)","75m_Gel1_Carbonyl (Cy5)","75m_Gel2_IS","75m_Gel2_Total (Cy3)","75m_Gel2_Carbonyl (Cy5)","75m_Gel3_IS","75m_Gel3_Total (Cy3)","75m_Gel3_Carbonyl (Cy5)","75m_Gel4_IS","75m_Gel4_Total (Cy3)","75m_Gel4_Carbonyl (Cy5)"
260,4,5719381.18992813,514425.148057768,769517.170434949,6100036.5300933,463329.856833191,780548.895842132,4191621.1552455,352771.567873379,547545.850125632,3184974.96467092,300457.994292622,518974.22429165,4669633.02662387,1224430.10826627,1552214.87317997,8033911.83984244,1693314.04704617,2383604.14305977,4742871.3873439,1191732.13392883,1519522.87406876,4374783.70452831,1106448.87362905,1404394.17495859,6907241.39125954,3789119.38627585,4624177.14453505,7884715.58727989,3787863.99117751,4880656.25881063,4548929.78961982,2470330.70414059,3133509.5243941,5900386.91125878,3284499.00510235,4043836.28565507
277,5,698060.190742734,35417.0815751661,226198.575330873,685304.132157831,30006.2871666904,293899.286162141,370784.088203861,17794.7641999796,192158.801426379,325760.843038284,17266.8073519792,172053.485184517,435837.175500794,77848.610817406,387195.224438566,619831.606224314,105980.99827951,437117.739222336,249844.559258015,41978.7860037428,237788.642168525,304661.052237952,48437.536205392,280816.313275266,547012.641647604,211255.842327223,880624.316611064,558271.948928431,194607.421950875,918779.58223858,554407.577731155,216763.022693821,759740.166986294,424952.73111235,154928.127916105,663467.345315997
264,6,572806.924631372,43144.5793483269,111314.814921734,632485.211979376,39005.2471663775,137603.336674782,1004623.43273456,68313.8895781192,149674.541578077,398370.654376668,32143.6579608122,126857.828003671,608909.28666009,135745.462140706,258059.736868484,730905.043332864,129923.647322639,246320.178734471,527812.762683622,111138.135303703,228242.185271617,680922.881019827,141427.281937173,240630.740538718,1175954.10954687,591177.473938279,877601.356355688,808495.45087314,331615.652921168,612916.92094747,397717.987666345,192927.133316874,347798.703766341,658154.81699986,320748.211280769,514739.432411468
258,7,1524033.85241582,101379.028079016,327362.662148576,2237979.80827686,126449.921592503,414997.622251809,1158315.28404508,74218.9463425316,275901.242385064,956763.617768226,67889.1698805893,240814.151786,1342753.19282568,264835.813404917,687571.639376833,2015694.76333744,326995.066835773,947681.808250356,1732769.36738486,335276.535241855,872332.863944813,1826312.51403734,352717.329513674,838913.185128215,2673758.59493349,1231678.95358432,2501061.63124321,2374173.42515354,926573.096149493,2353753.81056436,1455761.87189181,654131.902629128,1517552.13485757,2492492.6878585,1182610.96711709,2439660.05805392
265,8,1457061.82003242,102847.712603775,239317.773444607,1553730.14872343,91330.0341217991,284358.037587071,2308016.4547775,153119.431948299,311624.418037021,1100185.10860161,85828.1187502473,219370.59109041,1257506.23843185,261490.93158306,436663.603416127,1832979.85190967,311045.921185546,535307.292721154,2136644.05539245,417414.073896439,721742.770391502,2345837.80463583,464529.725828467,613856.449476377,2170557.87148338,1021418.91172127,1493740.55965202,2068971.32011391,822690.22317997,1249802.2865289,1318812.73911184,606035.135899778,834296.464391831,2128870.25217867,1001896.72844901,1353667.23414611
268,9,400361.768553595,29154.1757961361,183384.549406329,358933.857113012,21099.1438784469,209160.815485158,346038.403860444,22268.6195832101,248856.074221917,191414.665750793,13886.6857041174,161062.620633368,259315.51850407,55792.6604454557,194750.629578622,1166536.05141541,258826.857130881,447813.137828839,349733.224805632,71005.260505957,234382.498003948,399960.427314455,101585.495068793,342247.46937964,1424695.21037891,635504.935879188,1289402.39293875,1044198.63698307,401221.238986484,961731.636899571,704773.646945638,312156.233947229,623809.098804367,429932.319304497,182831.56775999,518734.814719367
262,10,457129.370051176,38378.7435610854,134775.360103299,495157.410029549,34888.1971868561,166466.234521114,626639.721855541,46604.4425931642,132950.74693283,478593.563535882,42690.2091189971,155851.422184441,376727.703784779,90445.6432727293,239316.180192239,948338.246777792,195269.963021202,559541.419630271,702730.448432548,168780.545713777,223543.023347922,581422.377098375,130857.670426215,325299.488362383,887817.583344075,474602.331828887,739510.785056289,642606.043183867,279579.398013496,631692.972385856,452290.850481281,225889.97990343,524264.530012536,429766.071348309,225286.815220353,538205.303685215
263,11,1610283.63221117,123935.565176104,289251.424579863,1828505.72580366,116335.362321698,376110.408361654,1964956.58570319,138549.920526672,311672.888677286,1060817.39870155,87208.3724722048,246482.657551218,1528784.48190656,337862.06736132,504293.040262779,1931528.14899317,362789.138759859,691280.48458424,1578966.02887705,328802.915220423,545638.656832383,2014080.8756322,441482.985726408,711620.75845692,3114415.36758582,1535200.73322451,1953522.56718456,2553028.76896054,1066634.6084389,1891672.21187275,1843342.730784,889754.978673274,1312994.79718659,1419072.89358792,701567.317377335,978004.292339189
323,12,20131841.2190437,1662771.26158572,1991660.99759073,76601464.279192,4837868.80921177,4830811.40489677,42092499.9474996,3128001.34935947,2976706.02592641,37130659.6159532,3249984.33123445,2755521.65108725,57476946.2079722,12839872.726362,10161977.0253332,71065169.1552396,12760135.7751205,11493229.1913485,61012149.8530377,13033494.0454368,9715443.59968367,37620527.2170256,8497164.76743329,6319768.57169347,38800645.1852992,20736985.6680383,20839000.8078295,68750721.2505552,28788237.1045851,25012244.5285342,31592981.1200888,16363205.7357078,15707866.7370184,65384915.6783944,33249318.2825163,23736191.9432446
275,13,277366.935175503,25813.2997953949,180504.747928671,794999.3909612,60399.4509171252,351031.948488826,583160.710811947,43626.7438413532,306233.807293109,221661.924867794,31630.1010387529,232755.901534419,241446.330626594,53699.5463352148,151855.594244721,402137.164203673,91016.3669563808,320492.237630316,158797.12049289,37296.1122056855,166657.917632168,307028.40054696,76862.8587376464,154685.061455977,301218.471428229,148005.93327883,563692.478109458,350190.263983522,140030.887346686,524893.493499765,295188.908559514,152912.449055558,330764.003178602,395533.61216737,245466.630486691,523191.567931966
