Plate,labPerson,labPeriod,gid,Low intensity (by feeling),Weird chromatogram,Splitted peaks/very bad chr,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,GP21,GP22,GP23,GP24
1,X,1,C1_1,NO,NO,NO,32070,170404,54751,10203007,54332,1814666,109179,7640434,4513303,1506402,245437,192036,79511,5274053,565518,1421029,270570,3862021,611346,139382,184265,55547,807545,555089
1,X,1,C1_2,NO,NO,NO,23227,121699,48571,7827611,49086,1479683,94850,6737725,4144607,1382149,243709,184571,90788,5168513,596774,1501977,304556,4145416,734039,156386,225452,70667,937127,666509
1,X,1,C1_3,NO,NO,NO,22211,116127,35857,7743974,40844,1460703,89726,6692924,4116021,1375677,227032,170705,64487,5133842,565903,1400146,264462,3939171,673232,122488,191095,54415,860663,615468
1,X,1,C2_1,NO,NO,NO,16114,78404,57266,4204247,52667,732637,58225,3080732,1835052,582322,119989,77472,54013,2050135,222673,602128,100081,1559122,249799,52951,71525,12105,366772,240703
1,X,1,C2_2,NO,NO,NO,20316,88124,72080,4256790,55406,746936,67101,3042248,1878813,594829,109603,84861,57373,2020868,218192,605762,106727,1486238,228264,53756,65994,17222,318345,219852
1,X,1,C2_3,NO,NO,NO,12520,49817,77950,2236943,29093,386472,51839,1641187,974475,305704,61159,49123,46029,1028981,106304,310965,53421,759072,113708,27896,34056,9593,165692,110344
1,X,1,C3_1,NO,NO,NO,19343,81368,39552,4727785,32985,804076,49547,3207095,1978801,611967,103379,68115,28216,2054874,203028,550102,85571,1370033,203861,41719,61142,14988,271190,202260
1,X,1,C3_2,NO,NO,NO,31757,144734,53752,8044402,58451,1417790,87697,5732123,3529842,1137857,192897,148296,66672,3889260,429948,1097264,212895,2815485,470899,118521,145865,42264,615133,434578
1,X,1,C3_3,NO,NO,NO,8239,45435,38392,2403023,17231,415631,30823,1748320,1072197,335730,59515,39557,25492,1177678,116714,340930,59951,879063,142102,45730,53594,15800,193351,140370
1,X,1,A1_1,NO,NO,NO,22648,129860,40865,4822121,34019,919249,88990,3207547,2317311,668596,122494,117101,41993,2172889,213835,534485,102675,1178821,200779,45547,82419,14339,227305,167388
1,X,1,A1_2,NO,NO,NO,32009,180002,46262,6499855,75916,1247040,126931,4434863,3130042,935530,177997,178923,68904,2999424,329710,742237,158745,1662573,309236,88284,140042,22625,347413,262482
